,Unnamed: 0,City,Country,Latitude,Longitude,year,Value,Date,Time,Min,TimeNew,VAL_0,continent
6695,6695,Dongola,Sudan,19.16667,30.48333,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Africa
6694,6694,Dhar,India,22.59373,75.29774,1200,30000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00129892,Asia
7107,7107,Worms,Germany,49.63278,8.35916,1200,28000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001211963,Europe
7189,7189,Orleans,France,47.902964,1.90925,1200,27000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001168485,Europe
7344,7344,Asyut,Egypt,27.18096,31.18368,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Africa
7352,7352,Novgorod,Russian Federation,58.525569,31.274192,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7357,7357,Trier,Germany,49.75565,6.63935,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7356,7356,Soba,Sudan,15.523889,32.680833,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Africa
7355,7355,Poitiers,France,46.58333,0.33333,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7354,7354,Pisa,Italy,43.71553,10.39659,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7345,7345,Coimbra,Portugal,40.20564,-8.41955,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7353,7353,Pavia,Italy,45.18446,9.16145,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7351,7351,Mainz,Germany,49.98419,8.2791,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7350,7350,Lakkundi,India,15.389314,75.716929,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Asia
7349,7349,Konye-Urgench,Turkmenistan,42.333333,59.15,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Asia
7348,7348,Kano,Nigeria,12.00012,8.51672,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Africa
7347,7347,Gent,Belgium,51.053469,3.730378,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7346,7346,Cremona,Italy,45.13617,10.02797,1200,25000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.001081528,Europe
7689,7689,Metz,France,49.11911,6.17269,1200,23000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000994571,Europe
7690,7690,Palma,Spain,39.56939,2.65024,1200,23000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000994571,Europe
7798,7798,Lyon,France,45.74846,4.84671,1200,22000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000951092,Europe
7799,7799,Prague,Austria,50.08804,14.42076,1200,22000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000951092,Europe
7915,7915,Erfurt,Germany,50.9787,11.03283,1200,21000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000907614,Europe
7914,7914,Braunschweig,Germany,52.268875,10.526769,1200,21000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000907614,Europe
8029,8029,Padua,Italy,45.406436,11.876761,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8023,8023,Angers,France,47.46667,-0.55,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8034,8034,Troyes,France,48.3,4.08333,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8032,8032,Toulouse,France,43.60426,1.44367,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8031,8031,Saint-Omer,France,50.750114,2.252208,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8030,8030,Provins,France,48.55,3.3,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8033,8033,Tours,France,47.38333,0.68333,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8028,8028,Marseille,France,43.29695,5.38107,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8027,8027,Liege,Belgium,50.63373,5.56749,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8026,8026,Kilwa,Tanzania,-9.149644,38.987675,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Africa
8025,8025,Caen,France,49.18585,-0.35912,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8024,8024,Beziers,France,43.34762,3.21899,1200,20000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000864135,Europe
8309,8309,Esztergom,Hungary,47.7928,18.74148,1200,18000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000777178,Europe
8310,8310,Ferrara,Italy,44.82678,11.62071,1200,18000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000777178,Europe
8311,8311,Vladimir,Russian Federation,56.13655,40.39658,1200,18000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000777178,Europe
8422,8422,Arles,France,43.6767,4.6278,1200,17000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0007337000000000001,Europe
8571,8571,Lisbon,Portugal,38.71667,-9.13333,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8575,8575,Zaragoza,Spain,41.648792,-0.889581,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8574,8574,Wiener Neustadt,Austria,47.8,16.25,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8573,8573,Soest,Germany,51.57558,8.10619,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8572,8572,Siena,Italy,43.32004,11.33283,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8568,8568,Bordeaux,France,44.84044,-0.5805,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8570,8570,Jerez de la Frontera,Spain,36.6936,-6.132431,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8569,8569,Florence,Italy,43.771033,11.248,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8567,8567,Barcelona,Spain,41.38879,2.15899,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8566,8566,Alessandria,Italy,44.91245,8.61894,1200,15000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0006467430000000001,Europe
8732,8732,Montpellier,France,43.61092,3.87723,1200,13500,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000581525,Europe
8809,8809,Augsberg,Germany,48.371444,10.898239,1200,12000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0005163069999999999,Europe
8810,8810,Mantova,Italy,45.156417,10.791375,1200,12000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0005163069999999999,Europe
8811,8811,Reims,France,49.25,4.03333,1200,12000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0005163069999999999,Europe
8812,8812,Utrecht,Netherlands,52.09083,5.12222,1200,12000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0005163069999999999,Europe
8813,8813,Vienna,Austria,48.20849,16.37208,1200,12000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.0005163069999999999,Europe
8924,8924,Lucca,Italy,43.84357,10.50585,1200,10000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.00042935,Europe
9092,9092,Louveigne,Belgium,50.877572,4.704328,1200,7000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000298915,Europe
9128,9128,Avignon,France,43.94834,4.80892,1200,6000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000255436,Europe
9239,9239,Geneva,Switzerland,46.198392,6.142297,1200,3300,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000138044,Europe
9242,9242,Frankfurt am Main,Germany,50.110922,8.682128,1200,3000,/01/01,1200/01/01, 00:00:00,1200/01/01 00:00:00,0.000125001,Europe
